"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","957","08 should reject duplicate review for same product","chromium","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","6065","07 should filter by minimum rating 4 stars","webkit","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","2925","08 should navigate to checkout via link","webkit","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","2868","03 should decrease quantity","chromium","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","2569","05 should show order status section on detail","firefox","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","2731","01 should show cart with line item","webkit","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","919","06 should show validation for short comment","chromium","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","1280","08 should reject duplicate review for same product","firefox","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","3988","03 should decrease quantity","webkit","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","3662","05 should add product to cart when logged in","firefox","2026-04-02","passed","2026-04-02","Product Detail Page","product-detail.spec.js","",""
"","3217","10 should allow going back from payment to shipping","firefox","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","1448","01 should load My Orders page","chromium","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","1821","03 should filter by price range min max","firefox","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","425","12 should display Create Account heading","chromium","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","1874","04 should reject short password","webkit","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","1994","11 should show total on order card","webkit","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","1902","04 should navigate to order detail","firefox","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","752","09 should show product image","firefox","2026-04-02","passed","2026-04-02","Product Detail Page","product-detail.spec.js","",""
"","1457","05 should sort by name A-Z","chromium","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","815","11 should show star display on page","firefox","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","655","12 should display Create Account heading","firefox","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","2705","09 should show Continue Shopping link","webkit","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","1277","06 should show validation for short comment","firefox","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","721","09 should list existing reviews when present","firefox","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","1091","10 should show order date on list card","chromium","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","4870","02 should validate empty address fields","webkit","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","3137","14 should show payment options including Debit Card","chromium","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
"","2483","02 should list at least one order for seeded Alice","firefox","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","1932","05 should show validation for short review title","webkit","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","2278","05 should clear all filters","chromium","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","950","05 should show order status section on detail","chromium","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","1389","15 should show sort dropdown","webkit","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","951","13 should show payment method on detail","chromium","2026-04-02","passed","2026-04-02","Order Tracking","order-tracking.spec.js","",""
"","3953","11 should filter by Books category","webkit","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","761","02 should prompt sign in when logged out","firefox","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","604","14 should show Sign In button","firefox","2026-04-02","passed","2026-04-02","User Login","login.spec.js","",""
"","2173","02 should increase quantity","chromium","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","1472","06 should reject password mismatch","firefox","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","527","11 should require last name","chromium","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","1492","03 should reject invalid email format","firefox","2026-04-02","passed","2026-04-02","User Registration","registration.spec.js","",""
"","1848","07 should filter by Clothing category","firefox","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","2787","13 should set high price floor and may show empty","firefox","2026-04-02","passed","2026-04-02","Search and Filter","search-filter.spec.js","",""
"","1811","08 should filter by Electronics category","firefox","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","1415","14 should show review cards for seeded data","webkit","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","4864","12 should add two different products","firefox","2026-04-02","passed","2026-04-02","Shopping Cart","shopping-cart.spec.js","",""
"","2456","08 should reject duplicate review for same product","webkit","2026-04-02","passed","2026-04-02","Product Reviews","reviews.spec.js","",""
"","644","11 should show product cards with price","chromium","2026-04-02","passed","2026-04-02","Product Browsing","product-browsing.spec.js","",""
"","6662","08 should show review step with item list","webkit","2026-04-02","passed","2026-04-02","Checkout Flow","checkout.spec.js","",""
